"Date_Sampled","Year","Season","Sample","Watershed","Forest","Horizon","NO3_mg_kg","NH4_mg_kg"
"2015-03-12",2015,"Winter",1,"EB","HW","O",0.07,27.58
"2015-03-12",2015,"Winter",2,"EB","HW","O",0.08,32.63
"2015-03-12",2015,"Winter",3,"EB","HW","O",0.08,38.22
"2015-03-12",2015,"Winter",1,"WB","HW","O",12.54,49.87
"2015-03-12",2015,"Winter",2,"WB","HW","O",2,81.28
"2015-03-12",2015,"Winter",3,"WB","HW","O",1.41,70.64
"2015-04-17",2015,"Vernal Transition",1,"EB","HW","O",0.36,21.08
"2015-04-17",2015,"Vernal Transition",2,"EB","HW","O",0.06,8.71
"2015-04-17",2015,"Vernal Transition",3,"EB","HW","O",0.06,14.9
"2015-04-17",2015,"Vernal Transition",1,"WB","HW","O",0.55,155.6
"2015-04-17",2015,"Vernal Transition",2,"WB","HW","O",0.38,73.97
"2015-04-17",2015,"Vernal Transition",3,"WB","HW","O",2.15,186.46
"2015-05-02",2015,"Vernal Transition",1,"EB","HW","O",0.06,8.52
"2015-05-02",2015,"Vernal Transition",2,"EB","HW","O",0.06,7.24
"2015-05-02",2015,"Vernal Transition",3,"EB","HW","O",0.06,5.36
"2015-05-02",2015,"Vernal Transition",1,"WB","HW","O",13.42,27.18
"2015-05-02",2015,"Vernal Transition",2,"WB","HW","O",9.34,121.82
"2015-05-02",2015,"Vernal Transition",3,"WB","HW","O",46.83,144.64
"2015-05-26",2015,"Growing Season",1,"EB","HW","O",0.06,6.57
"2015-05-26",2015,"Growing Season",2,"EB","HW","O",1.36,18.5
"2015-05-26",2015,"Growing Season",3,"EB","HW","O",0.06,7.53
"2015-05-26",2015,"Growing Season",1,"WB","HW","O",17.59,30.31
"2015-05-26",2015,"Growing Season",2,"WB","HW","O",2.48,137.93
"2015-05-26",2015,"Growing Season",3,"WB","HW","O",27.54,70.85
"2015-06-15",2015,"Growing Season",1,"EB","HW","O",0.06,12.06
"2015-06-15",2015,"Growing Season",2,"EB","HW","O",0.07,11.83
"2015-06-15",2015,"Growing Season",3,"EB","HW","O",0.06,18.6
"2015-06-15",2015,"Growing Season",1,"WB","HW","O",14.37,52.99
"2015-06-15",2015,"Growing Season",2,"WB","HW","O",14.89,165.68
"2015-06-15",2015,"Growing Season",3,"WB","HW","O",5.85,60.31
"2015-08-10",2015,"Growing Season",1,"EB","HW","O",0.01,10.55
"2015-08-10",2015,"Growing Season",2,"EB","HW","O",0.06,6.9
"2015-08-10",2015,"Growing Season",3,"EB","HW","O",0.67,7.49
"2015-08-10",2015,"Growing Season",1,"WB","HW","O",7.65,41.85
"2015-08-10",2015,"Growing Season",2,"WB","HW","O",50.33,51.42
"2015-08-10",2015,"Growing Season",3,"WB","HW","O",0.67,36.28
"2015-10-24",2015,"Fall",1,"EB","HW","O",0.06,7.94
"2015-10-24",2015,"Fall",2,"EB","HW","O",0.06,9.78
"2015-10-24",2015,"Fall",3,"EB","HW","O",0.06,11.51
"2015-10-24",2015,"Fall",1,"WB","HW","O",10.13,47.04
"2015-10-24",2015,"Fall",2,"WB","HW","O",9.37,25.64
"2015-10-24",2015,"Fall",2,"WB","HW","O",NA,NA
"2016-01-24",2016,"Winter",1,"EB","HW","O",0.06,8.92
"2016-01-24",2016,"Winter",2,"EB","HW","O",0.06,3.13
"2016-01-24",2016,"Winter",3,"EB","HW","O",0.06,4.15
"2016-01-24",2016,"Winter",1,"WB","HW","O",14.22,22.35
"2016-01-24",2016,"Winter",2,"WB","HW","O",6.6,9.39
"2016-01-24",2016,"Winter",3,"WB","HW","O",4.45,3.26
"2016-03-07",2016,"Winter",1,"EB","HW","O",0.19,25.03
"2016-03-07",2016,"Winter",2,"EB","HW","O",0.21,1.33
"2016-03-07",2016,"Winter",3,"EB","HW","O",0.1,2.72
"2016-03-07",2016,"Winter",1,"WB","HW","O",2.03,213.77
"2016-03-07",2016,"Winter",2,"WB","HW","O",0.15,74.8
"2016-03-07",2016,"Winter",3,"WB","HW","O",1.89,102.74
"2016-04-06",2016,"Winter",1,"EB","HW","O",0.06,21.81
"2016-04-06",2016,"Winter",2,"EB","HW","O",0.06,6.93
"2016-04-06",2016,"Winter",3,"EB","HW","O",0.06,4.57
"2016-04-06",2016,"Winter",1,"WB","HW","O",4.66,175.96
"2016-04-06",2016,"Winter",2,"WB","HW","O",3.77,57.48
"2016-04-06",2016,"Winter",3,"WB","HW","O",7.01,45.8
"2016-04-27",2016,"Vernal Transition",1,"EB","HW","O",0.06,5.87
"2016-04-27",2016,"Vernal Transition",2,"EB","HW","O",0.06,4.06
"2016-04-27",2016,"Vernal Transition",3,"EB","HW","O",0.06,3.07
"2016-04-27",2016,"Vernal Transition",1,"WB","HW","O",17.39,32.4
"2016-04-27",2016,"Vernal Transition",2,"WB","HW","O",5.51,72.95
"2016-04-27",2016,"Vernal Transition",3,"WB","HW","O",12.59,6.66
"2016-05-10",2016,"Vernal Transition",1,"EB","HW","O",0.06,4.09
"2016-05-10",2016,"Vernal Transition",2,"EB","HW","O",0.07,5.45
"2016-05-10",2016,"Vernal Transition",3,"EB","HW","O",0.06,7.46
"2016-05-10",2016,"Vernal Transition",1,"WB","HW","O",4.85,8.69
"2016-05-10",2016,"Vernal Transition",2,"WB","HW","O",2.61,130.06
"2016-05-10",2016,"Vernal Transition",3,"WB","HW","O",6.1,57.98
"2016-07-05",2016,"Growing Season",1,"EB","HW","O",0.06,3.91
"2016-07-05",2016,"Growing Season",2,"EB","HW","O",0.05,2.26
"2016-07-05",2016,"Growing Season",3,"EB","HW","O",0.06,4.99
"2016-07-05",2016,"Growing Season",1,"WB","HW","O",11.74,37.15
"2016-07-05",2016,"Growing Season",2,"WB","HW","O",1.95,46.12
"2016-07-05",2016,"Growing Season",3,"WB","HW","O",17.45,3.33
