"Date","mean_discharge_m3_s","total_discharge_m3_s","gageht_cm","n","yday","year","group","cum_m3_s"
2015-01-01,NA,0,156.46,288,1,2015,"grp1",0
2015-01-02,NA,0,156.01,288,2,2015,"grp1",0
2015-01-03,NA,0,155.36,288,3,2015,"grp1",0
2015-01-04,NA,0,155.45,288,4,2015,"grp1",0
2015-01-05,NA,0,155.75,288,5,2015,"grp1",0
2015-01-06,NA,0,155.4,288,6,2015,"grp1",0
2015-01-07,NA,0,155.13,288,7,2015,"grp1",0
2015-01-08,NA,0,154.67,288,8,2015,"grp1",0
2015-01-09,NA,0,154.5,288,9,2015,"grp1",0
2015-01-10,0.01,1.57,154.35,288,10,2015,"grp1",1.57
2015-01-11,0,1.25,154.2,288,11,2015,"grp1",2.82
2015-01-12,NA,0,154.21,288,12,2015,"grp1",2.82
2015-01-13,NA,0,154.2,288,13,2015,"grp1",2.82
2015-01-14,NA,0,154.2,283,14,2015,"grp1",2.82
2015-01-15,NA,0,154.2,288,15,2015,"grp1",2.82
2015-01-16,NA,0,154.2,288,16,2015,"grp1",2.82
2015-01-17,NA,0,154.02,288,17,2015,"grp1",2.82
2015-01-18,0,1.2,153.99,288,18,2015,"grp1",4.02
2015-01-19,0.04,11.19,159.62,288,19,2015,"grp1",15.21
2015-01-20,NA,0,157.97,288,20,2015,"grp1",15.21
2015-01-21,NA,0,156.43,288,21,2015,"grp1",15.21
2015-01-22,NA,0,155.67,288,22,2015,"grp1",15.21
2015-01-23,NA,0,155.18,288,23,2015,"grp1",15.21
2015-01-24,NA,0,155.06,288,24,2015,"grp1",15.21
2015-01-25,NA,0,154.56,288,25,2015,"grp1",15.21
2015-01-26,NA,0,154.57,288,26,2015,"grp1",15.21
2015-01-27,NA,0,154.76,288,27,2015,"grp1",15.21
2015-01-28,NA,0,154.56,288,28,2015,"grp1",15.21
2015-01-29,NA,0,154.28,288,29,2015,"grp1",15.21
2015-01-30,NA,0,154.2,288,30,2015,"grp1",15.21
2015-01-31,NA,0,154.2,288,31,2015,"grp1",15.21
2015-02-01,NA,0,154.07,288,32,2015,"grp1",15.21
2015-02-02,NA,0,154.19,288,33,2015,"grp1",15.21
2015-02-03,NA,0,154.02,288,34,2015,"grp1",15.21
2015-02-04,NA,0,153.9,288,35,2015,"grp1",15.21
2015-02-05,NA,0,153.9,288,36,2015,"grp1",15.21
2015-02-06,NA,0,154.1,288,37,2015,"grp1",15.21
2015-02-07,NA,0,153.99,288,38,2015,"grp1",15.21
2015-02-08,0,0.99,153.84,288,39,2015,"grp1",16.2
2015-02-09,0,0.87,153.72,288,40,2015,"grp1",17.07
2015-02-10,0,0.82,153.61,288,41,2015,"grp1",17.89
2015-02-11,NA,0,153.6,288,42,2015,"grp1",17.89
2015-02-12,NA,0,153.69,288,43,2015,"grp1",17.89
2015-02-13,NA,0,153.65,288,44,2015,"grp1",17.89
2015-02-14,NA,0,153.6,288,45,2015,"grp1",17.89
2015-02-15,NA,0,153.66,288,46,2015,"grp1",17.89
2015-02-16,NA,0,153.6,288,47,2015,"grp1",17.89
2015-02-17,NA,0,153.42,288,48,2015,"grp1",17.89
2015-02-18,0,0.82,153.3,288,49,2015,"grp1",18.71
2015-02-19,NA,0,153.38,288,50,2015,"grp1",18.71
2015-02-20,NA,0,153.32,288,51,2015,"grp1",18.71
2015-02-21,NA,0,153.3,288,52,2015,"grp1",18.71
2015-02-22,NA,0,153.32,288,53,2015,"grp1",18.71
2015-02-23,NA,0,153.3,288,54,2015,"grp1",18.71
2015-02-24,NA,0,153.31,288,55,2015,"grp1",18.71
2015-02-25,NA,0,153.3,288,56,2015,"grp1",18.71
2015-02-26,NA,0,153.29,288,57,2015,"grp1",18.71
2015-02-27,NA,0,153.14,288,58,2015,"grp1",18.71
2015-02-28,NA,0,153.11,288,59,2015,"grp1",18.71
2015-03-01,NA,0,153.01,288,60,2015,"grp1",18.71
2015-03-02,NA,0,153.3,288,61,2015,"grp1",18.71
2015-03-03,NA,0,153.27,287,62,2015,"grp1",18.71
2015-03-04,NA,0,153.3,288,63,2015,"grp1",18.71
2015-03-05,NA,0,153.3,288,64,2015,"grp1",18.71
2015-03-06,NA,0,153.13,288,65,2015,"grp1",18.71
2015-03-07,0,0.79,153,288,66,2015,"grp1",19.5
2015-03-08,0,0.74,153,276,67,2015,"grp1",20.24
2015-03-09,0,0.65,153,288,68,2015,"grp1",20.89
2015-03-10,0,0.61,153.17,288,69,2015,"grp1",21.5
2015-03-11,NA,0,154.62,288,70,2015,"grp1",21.5
2015-03-12,NA,0,154.59,288,71,2015,"grp1",21.5
2015-03-13,NA,0,153.93,288,72,2015,"grp1",21.5
2015-03-14,0,0.91,153.81,288,73,2015,"grp1",22.41
2015-03-15,NA,0,153.99,288,74,2015,"grp1",22.41
2015-03-16,NA,0,153.9,288,75,2015,"grp1",22.41
2015-03-17,NA,0,153.9,288,76,2015,"grp1",22.41
2015-03-18,NA,0,153.8,288,77,2015,"grp1",22.41
2015-03-19,NA,0,153.74,288,78,2015,"grp1",22.41
2015-03-20,NA,0,153.6,288,79,2015,"grp1",22.41
2015-03-21,NA,0,153.6,288,80,2015,"grp1",22.41
2015-03-22,NA,0,153.61,288,81,2015,"grp1",22.41
2015-03-23,NA,0,153.78,288,82,2015,"grp1",22.41
2015-03-24,NA,0,153.6,288,83,2015,"grp1",22.41
2015-03-25,NA,0,154.03,288,84,2015,"grp1",22.41
2015-03-26,0.01,2.15,154.99,288,85,2015,"grp1",24.56
2015-03-27,0.02,4.75,157.01,288,86,2015,"grp1",29.31
2015-03-28,0.01,3.33,156.08,288,87,2015,"grp1",32.64
2015-03-29,0.01,2.44,155.32,288,88,2015,"grp1",35.08
2015-03-30,0.01,2.05,155.1,288,89,2015,"grp1",37.13
2015-03-31,0.01,2.07,154.98,288,90,2015,"grp1",39.2
2015-04-01,0.01,2.04,155.1,288,91,2015,"grp1",41.24
2015-04-02,0.01,2.04,155.02,288,92,2015,"grp1",43.28
2015-04-03,0.02,4.97,156.82,288,93,2015,"grp1",48.25
2015-04-04,0.05,13.16,160.56,288,94,2015,"grp1",61.41
2015-04-05,0.03,8.51,158.85,288,95,2015,"grp1",69.92
2015-04-06,0.02,5.52,157.44,288,96,2015,"grp1",75.44
2015-04-07,0.01,4.31,156.73,288,97,2015,"grp1",79.75
2015-04-08,0.01,3.77,156.39,288,98,2015,"grp1",83.52
2015-04-09,0.01,3.37,156.11,288,99,2015,"grp1",86.89
2015-04-10,0.02,4.79,156.85,288,100,2015,"grp1",91.68
2015-04-11,0.05,15.72,161.34,288,101,2015,"grp1",107.4
2015-04-12,0.06,18.16,161.9,288,102,2015,"grp1",125.56
2015-04-13,0.13,36.87,165.61,288,103,2015,"grp1",162.43
2015-04-14,0.18,51.75,168.22,288,104,2015,"grp1",214.18
2015-04-15,0.12,33.97,165.41,288,105,2015,"grp1",248.15
2015-04-16,0.09,24.6,163.58,288,106,2015,"grp1",272.75
2015-04-17,0.08,24.39,163.48,288,107,2015,"grp1",297.14
2015-04-18,0.09,26.96,164.08,288,108,2015,"grp1",324.1
2015-04-19,0.08,22.95,163.21,288,109,2015,"grp1",347.05
2015-04-20,0.07,18.95,162.26,288,110,2015,"grp1",366
2015-04-21,0.29,82.17,170.97,288,111,2015,"grp1",448.17
2015-04-22,0.11,30.71,164.79,288,112,2015,"grp1",478.88
2015-04-23,0.07,20.29,162.57,288,113,2015,"grp1",499.17
2015-04-24,0.05,14.89,161.11,288,114,2015,"grp1",514.06
2015-04-25,0.04,11.46,160.01,288,115,2015,"grp1",525.52
2015-04-26,0.03,8.88,159.04,288,116,2015,"grp1",534.4
2015-04-27,0.03,7.8,158.6,288,117,2015,"grp1",542.2
2015-04-28,0.02,6.66,158.02,288,118,2015,"grp1",548.86
2015-04-29,0.02,5.75,157.6,288,119,2015,"grp1",554.61
2015-04-30,0.02,4.91,157.1,288,120,2015,"grp1",559.52
2015-05-01,0.01,4.26,156.72,288,121,2015,"grp1",563.78
2015-05-02,0.01,3.84,156.44,288,122,2015,"grp1",567.62
2015-05-03,0.01,3.39,156.14,288,123,2015,"grp1",571.01
2015-05-04,0.01,3.05,155.87,288,124,2015,"grp1",574.06
2015-05-05,0.01,2.71,155.6,288,125,2015,"grp1",576.77
2015-05-06,0.01,2.45,155.4,288,126,2015,"grp1",579.22
2015-05-07,0.01,2.24,155.16,288,127,2015,"grp1",581.46
2015-05-08,0.01,2.04,154.97,288,128,2015,"grp1",583.5
2015-05-09,0.01,1.77,154.61,288,129,2015,"grp1",585.27
2015-05-10,0.01,2.08,154.99,288,130,2015,"grp1",587.35
2015-05-11,0.01,2.59,155.5,288,131,2015,"grp1",589.94
2015-05-12,0.01,3.21,155.98,288,132,2015,"grp1",593.15
2015-05-13,0.01,2.5,155.43,288,133,2015,"grp1",595.65
2015-05-14,NA,0,155.1,102,134,2015,"grp1",595.65
2015-05-15,NA,0,154.69,227,135,2015,"grp1",595.65
2015-05-16,0.01,1.63,154.5,288,136,2015,"grp1",597.28
2015-05-17,0.01,2.49,155.38,288,137,2015,"grp1",599.77
2015-05-18,0.01,2.17,155.08,288,138,2015,"grp1",601.94
2015-05-19,0.01,2.42,155.26,288,139,2015,"grp1",604.36
2015-05-20,NA,0,155.49,288,140,2015,"grp1",604.36
2015-05-21,NA,0,154.85,288,141,2015,"grp1",604.36
2015-05-22,0.01,2.01,154.9,288,142,2015,"grp1",606.37
2015-05-23,0.01,2.39,155.35,288,143,2015,"grp1",608.76
2015-05-24,0.01,1.81,154.78,288,144,2015,"grp1",610.57
2015-05-25,0.01,1.49,154.38,288,145,2015,"grp1",612.06
2015-05-26,0.01,2.58,155.47,288,146,2015,"grp1",614.64
2015-05-27,0.01,1.88,154.81,288,147,2015,"grp1",616.52
2015-05-28,0.01,2.71,155.25,288,148,2015,"grp1",619.23
2015-05-29,0.02,4.34,156.73,288,149,2015,"grp1",623.57
2015-05-30,0.01,2.51,155.48,288,150,2015,"grp1",626.08
2015-05-31,0.01,2.47,155.43,288,151,2015,"grp1",628.55
2015-06-01,0.01,4.19,156.62,288,152,2015,"grp1",632.74
2015-06-02,0.04,10.49,159.44,288,153,2015,"grp1",643.23
2015-06-03,0.03,9.68,159.31,288,154,2015,"grp1",652.91
2015-06-04,0.02,5.67,157.52,288,155,2015,"grp1",658.58
2015-06-05,0.01,3.99,156.56,288,156,2015,"grp1",662.57
2015-06-06,0.01,3.25,156.02,288,157,2015,"grp1",665.82
2015-06-07,0.01,2.33,155.22,288,158,2015,"grp1",668.15
2015-06-08,0.01,2.04,154.88,288,159,2015,"grp1",670.19
2015-06-09,0.01,2.08,155.07,288,160,2015,"grp1",672.27
2015-06-10,0.01,2.19,155.18,288,161,2015,"grp1",674.46
2015-06-11,0.01,2.01,155.04,288,162,2015,"grp1",676.47
2015-06-12,0.01,1.48,154.52,288,163,2015,"grp1",677.95
2015-06-13,0.02,4.91,156.96,288,164,2015,"grp1",682.86
2015-06-14,0.01,2.65,155.51,288,165,2015,"grp1",685.51
2015-06-15,NA,0,154.5,288,166,2015,"grp1",685.51
2015-06-16,NA,0,154.66,288,167,2015,"grp1",685.51
2015-06-17,NA,0,154.59,288,168,2015,"grp1",685.51
2015-06-18,0,1.06,153.92,288,169,2015,"grp1",686.57
2015-06-19,NA,0,153.76,288,170,2015,"grp1",686.57
2015-06-20,0,0.82,153.46,288,171,2015,"grp1",687.39
2015-06-21,0.04,11.76,158.79,288,172,2015,"grp1",699.15
2015-06-22,0.04,11.46,159.9,288,173,2015,"grp1",710.61
2015-06-23,0.03,8.23,158.59,288,174,2015,"grp1",718.84
2015-06-24,0.05,13.69,160.6,288,175,2015,"grp1",732.53
2015-06-25,0.02,6,157.69,288,176,2015,"grp1",738.53
2015-06-26,0.01,3.53,156.21,288,177,2015,"grp1",742.06
2015-06-27,0.01,2.47,155.37,288,178,2015,"grp1",744.53
2015-06-28,0.02,5.78,157.08,288,179,2015,"grp1",750.31
2015-06-29,0.04,10.31,159.55,288,180,2015,"grp1",760.62
2015-06-30,0.02,5.86,157.62,288,181,2015,"grp1",766.48
2015-07-01,0.01,4.19,156.65,288,182,2015,"grp1",770.67
2015-07-02,0.01,3.38,156.13,288,183,2015,"grp1",774.05
2015-07-03,0.01,2.29,155.24,288,184,2015,"grp1",776.34
2015-07-04,0,1.42,154.29,288,185,2015,"grp1",777.76
2015-07-05,0,1.22,154.07,288,186,2015,"grp1",778.98
2015-07-06,0,1.07,153.94,288,187,2015,"grp1",780.05
2015-07-07,0,0.98,153.58,288,188,2015,"grp1",781.03
2015-07-08,0,0.82,153.6,288,189,2015,"grp1",781.85
2015-07-09,0,0.68,153.31,288,190,2015,"grp1",782.53
2015-07-10,0,0.61,152.98,288,191,2015,"grp1",783.14
2015-07-11,0,0.41,152.68,288,192,2015,"grp1",783.55
2015-07-12,0,0.41,152.4,288,193,2015,"grp1",783.96
2015-07-13,0,0.27,152.13,288,194,2015,"grp1",784.23
2015-07-14,NA,0,151.95,288,195,2015,"grp1",784.23
2015-07-15,0,0.58,152.82,288,196,2015,"grp1",784.81
2015-07-16,0,0.41,152.46,288,197,2015,"grp1",785.22
2015-07-17,NA,0,152.06,288,198,2015,"grp1",785.22
2015-07-18,NA,0,151.99,288,199,2015,"grp1",785.22
2015-07-19,NA,0,152.2,288,200,2015,"grp1",785.22
2015-07-20,0,0.77,153.45,288,201,2015,"grp1",785.99
2015-07-21,0,0.41,152.77,288,202,2015,"grp1",786.4
2015-07-22,0,0.41,152.46,288,203,2015,"grp1",786.81
2015-07-23,0,0.23,151.98,288,204,2015,"grp1",787.04
2015-07-24,0,0.21,152.3,288,205,2015,"grp1",787.25
2015-07-25,0,0.41,152.59,288,206,2015,"grp1",787.66
2015-07-26,0,0.41,152.44,288,207,2015,"grp1",788.07
2015-07-27,0,0.41,152.99,288,208,2015,"grp1",788.48
2015-07-28,0,1.09,153.89,288,209,2015,"grp1",789.57
2015-07-29,0,0.6,152.94,288,210,2015,"grp1",790.17
2015-07-30,NA,0,152.28,288,211,2015,"grp1",790.17
2015-07-31,0,0.23,151.97,288,212,2015,"grp1",790.4
2015-08-01,NA,0,151.92,288,213,2015,NA,790.4
2015-08-02,NA,0,151.66,288,214,2015,NA,790.4
2015-08-03,0,0,151.17,288,215,2015,NA,790.4
2015-08-04,0,0,151.1,288,216,2015,NA,790.4
2015-08-05,0,0.21,151.74,288,217,2015,NA,790.61
2015-08-06,0,0.41,152.48,288,218,2015,NA,791.02
2015-08-07,0,0.28,152.19,288,219,2015,NA,791.3
2015-08-08,0,0,151.63,288,220,2015,NA,791.3
2015-08-09,0,0,151.25,288,221,2015,NA,791.3
2015-08-10,0,0,150.98,288,222,2015,NA,791.3
2015-08-11,0,0.32,151.56,288,223,2015,NA,791.62
2015-08-12,0.01,1.84,154.7,288,224,2015,NA,793.46
2015-08-13,0,0.65,153.22,288,225,2015,NA,794.11
2015-08-14,0,0.41,152.44,288,226,2015,NA,794.52
2015-08-15,0,0.87,152.93,288,227,2015,NA,795.39
2015-08-16,0,1,153.74,288,228,2015,NA,796.39
2015-08-17,0,0.41,152.53,288,229,2015,NA,796.8
2015-08-18,NA,0,152.12,288,230,2015,NA,796.8
2015-08-19,NA,0,151.89,288,231,2015,NA,796.8
2015-08-20,0,0,151.8,288,232,2015,NA,796.8
2015-08-21,NA,0,151.81,288,233,2015,NA,796.8
2015-08-22,NA,0,151.89,288,234,2015,NA,796.8
2015-08-23,0,0.15,152.06,288,235,2015,NA,796.95
2015-08-24,0,0.32,152.1,288,236,2015,NA,797.27
2015-08-25,0,0.02,151.92,288,237,2015,NA,797.29
2015-08-26,0,0.52,152.64,288,238,2015,NA,797.81
2015-08-27,0.01,1.51,154.36,288,239,2015,NA,799.32
2015-08-28,0,0.59,153,288,240,2015,NA,799.91
2015-08-29,0,0.41,152.43,288,241,2015,NA,800.32
2015-08-30,0,0.26,152.02,288,242,2015,NA,800.58
2015-08-31,NA,0,151.88,288,243,2015,NA,800.58
2015-09-01,NA,0,151.77,288,244,2015,NA,800.58
2015-09-02,NA,0,151.77,288,245,2015,NA,800.58
2015-09-03,NA,0,151.54,288,246,2015,NA,800.58
2015-09-04,0,0,151.11,288,247,2015,NA,800.58
2015-09-05,0,0,150.93,288,248,2015,NA,800.58
2015-09-06,0,0,150.8,288,249,2015,NA,800.58
2015-09-07,0,0,150.59,288,250,2015,NA,800.58
2015-09-08,0,0,150.15,288,251,2015,NA,800.58
2015-09-09,0,0,149.5,288,252,2015,NA,800.58
2015-09-10,0,0,148.91,288,253,2015,NA,800.58
2015-09-11,0,0.62,152.14,288,254,2015,NA,801.2
2015-09-12,NA,0,152.18,288,255,2015,NA,801.2
2015-09-13,NA,0,151.85,288,256,2015,NA,801.2
2015-09-14,0,0.78,153.34,288,257,2015,NA,801.98
2015-09-15,0,0.41,152.5,288,258,2015,NA,802.39
2015-09-16,0,0.21,151.97,288,259,2015,NA,802.6
2015-09-17,0,0,151.68,288,260,2015,NA,802.6
2015-09-18,0,0,151.65,288,261,2015,NA,802.6
2015-09-19,0,0,151.38,288,262,2015,NA,802.6
2015-09-20,0,0,151.56,288,263,2015,NA,802.6
2015-09-21,0,0,151.62,288,264,2015,NA,802.6
2015-09-22,0,0,151.19,288,265,2015,NA,802.6
2015-09-23,0,0,151.25,288,266,2015,NA,802.6
2015-09-24,0,0,150.89,288,267,2015,NA,802.6
2015-09-25,0,0,150.54,288,268,2015,NA,802.6
2015-09-26,0,0,150.13,288,269,2015,NA,802.6
2015-09-27,0,0,149.59,288,270,2015,NA,802.6
2015-09-28,0,0,149.25,288,271,2015,NA,802.6
2015-09-29,0,0,149.02,288,272,2015,NA,802.6
2015-09-30,0.55,159.82,170.84,288,273,2015,NA,962.42
2015-10-01,0.11,32.11,164.68,288,274,2015,NA,994.53
2015-10-02,0.03,9.91,159.4,288,275,2015,NA,1004.44
2015-10-03,NA,0,157.95,288,276,2015,NA,1004.44
2015-10-04,NA,0,157.02,288,277,2015,NA,1004.44
2015-10-05,NA,0,156.44,288,278,2015,NA,1004.44
2015-10-06,NA,0,156.09,288,279,2015,NA,1004.44
2015-10-07,NA,0,155.89,288,280,2015,NA,1004.44
2015-10-08,NA,0,155.83,288,281,2015,NA,1004.44
2015-10-09,NA,0,157.32,288,282,2015,NA,1004.44
2015-10-10,0.02,6.45,157.87,288,283,2015,NA,1010.89
2015-10-11,0.01,3.45,156.2,288,284,2015,NA,1014.34
2015-10-12,0.01,2.4,155.36,288,285,2015,NA,1016.74
2015-10-13,0.01,2.67,155.56,288,286,2015,NA,1019.41
2015-10-14,NA,0,155.89,288,287,2015,NA,1019.41
2015-10-15,NA,0,155.31,288,288,2015,NA,1019.41
2015-10-16,0.01,2.25,155.24,288,289,2015,NA,1021.66
2015-10-17,0.01,2.21,155.18,288,290,2015,NA,1023.87
2015-10-18,NA,0,155,288,291,2015,NA,1023.87
2015-10-19,0.01,2.04,154.93,288,292,2015,NA,1025.91
2015-10-20,0.01,2.05,154.99,288,293,2015,NA,1027.96
2015-10-21,0.01,2.04,155.1,288,294,2015,NA,1030
2015-10-22,0.01,1.84,154.77,288,295,2015,NA,1031.84
2015-10-23,0.01,1.6,154.55,288,296,2015,NA,1033.44
2015-10-24,0.01,1.48,154.38,288,297,2015,NA,1034.92
2015-10-25,0.01,1.83,154.7,288,298,2015,NA,1036.75
2015-10-26,0.01,1.6,154.56,288,299,2015,NA,1038.35
2015-10-27,NA,0.93,NA,228,300,2015,NA,1039.28
2015-10-28,0,1.24,154.2,288,301,2015,NA,1040.52
2015-10-29,0.26,73.97,169.14,288,302,2015,NA,1114.49
2015-10-30,0.06,17.27,161.67,288,303,2015,NA,1131.76
2015-10-31,0.03,8.25,158.75,288,304,2015,NA,1140.01
2015-11-01,0.02,6.49,157.82,300,305,2015,NA,1146.5
2015-11-02,0.02,5,157.17,288,306,2015,NA,1151.5
2015-11-03,0.01,4.13,156.64,288,307,2015,NA,1155.63
2015-11-04,0.01,3.52,156.21,288,308,2015,NA,1159.15
2015-11-05,0.01,3.26,156,288,309,2015,NA,1162.41
2015-11-06,0.01,3.26,156,288,310,2015,NA,1165.67
2015-11-07,0.01,3.01,155.84,288,311,2015,NA,1168.68
2015-11-08,0.01,2.57,155.49,288,312,2015,NA,1171.25
2015-11-09,0.01,2.45,155.4,288,313,2015,NA,1173.7
2015-11-10,NA,1.28,155.3,288,314,2015,NA,1174.98
2015-11-11,NA,0.03,155.08,288,315,2015,NA,1175.01
2015-11-12,NA,1.27,155.28,288,316,2015,NA,1176.28
2015-11-13,0.02,6.32,157.87,288,317,2015,NA,1182.6
2015-11-14,0.01,4,156.56,288,318,2015,NA,1186.6
2015-11-15,NA,2.84,156.01,288,319,2015,NA,1189.44
2015-11-16,0.01,2.72,155.6,288,320,2015,NA,1192.16
